name,asciiname,country,lat,lon,timezone,population
Giá Rai,Gia Rai,VN,9.23444,105.45833,Asia/Ho_Chi_Minh,145340
Abohar,Abohar,IN,30.14453,74.19552,Asia/Kolkata,145302
Tiruvannamalai,Tiruvannamalai,IN,12.22662,79.07461,Asia/Kolkata,145278
Gainesville,Gainesville,US,29.65163,-82.32483,America/New_York,145214
Concordia,Concordia,AR,-31.39195,-58.01706,America/Argentina/Cordoba,145210
Fujieda,Fujieda,JP,34.86667,138.26667,Asia/Tokyo,145032
Spanish Town,Spanish Town,JM,17.99107,-76.95742,America/Jamaica,145018
Blackpool,Blackpool,GB,53.81667,-3.05,Europe/London,145007
Urganch,Urganch,UZ,41.55177,60.63143,Asia/Samarkand,145000
Bukoba,Bukoba,TZ,-1.33167,31.81222,Africa/Dar_es_Salaam,144938
Kaithal,Kaithal,IN,29.80153,76.39959,Asia/Kolkata,144915
Ingombota,Ingombota,AO,-8.81806,13.22889,Africa/Luanda,144911
Brest,Brest,FR,48.39029,-4.48628,Europe/Paris,144899
Basildon,Basildon,GB,51.56844,0.45782,Europe/London,144859
Franco da Rocha,Franco da Rocha,BR,-23.32167,-46.72694,America/Sao_Paulo,144849
Salamanca,Salamanca,ES,40.96882,-5.66388,Europe/Madrid,144825
Villeray–Saint-Michel–Parc-Extension,Villeray-Saint-Michel-Parc-Extension,CA,45.55869,-73.60535,America/Toronto,144814
Mesquite,Mesquite,US,32.7668,-96.59916,America/Chicago,144788
Ashikaga,Ashikaga,JP,36.33333,139.45,Asia/Tokyo,144746
Huyện Lâm Hà,Huyen Lam Ha,VN,11.81554,108.21444,Asia/Ho_Chi_Minh,144707
Acheng,Acheng,CN,45.54558,126.95191,Asia/Shanghai,144665
Kelowna,Kelowna,CA,49.88307,-119.48568,America/Vancouver,144576
Umarkot,Umarkot,PK,25.36329,69.74184,Asia/Karachi,144558
León,Leon,NI,12.43527,-86.87862,America/Managua,144538
Kakamigahara,Kakamigahara,JP,35.41667,136.86667,Asia/Tokyo,144521
Le Mans,Le Mans,FR,48.0021,0.20251,Europe/Paris,144515
Lodhran,Lodhran,PK,29.5339,71.63244,Asia/Karachi,144512
Trois-Rivières,Trois-Rivieres,CA,46.34515,-72.5477,America/Toronto,144472
Hailin,Hailin,CN,44.57149,129.38539,Asia/Shanghai,144443
Tsuchiura,Tsuchiura,JP,36.09047,140.21047,Asia/Tokyo,144399
Elektrostal’,Elektrostal',RU,55.78647,38.45713,Europe/Moscow,144387
Balasore,Balasore,IN,21.49266,86.93348,Asia/Kolkata,144373
Yong’an,Yong'an,CN,31.01894,109.45949,Asia/Shanghai,144314
Paris 11e Arrondissement,Paris 11e Arrondissement,FR,48.85834,2.37952,Europe/Paris,144292
Kampong Pasir Ris,Kampong Pasir Ris,SG,1.37833,103.93194,Asia/Singapore,144260
Huelva,Huelva,ES,37.26638,-6.94004,Europe/Madrid,144258
Navoiy,Navoiy,UZ,40.08444,65.37917,Asia/Samarkand,144158
Syracuse,Syracuse,US,43.04812,-76.14742,America/New_York,144142
Atibaia,Atibaia,BR,-23.11694,-46.55028,America/Sao_Paulo,144088
Ashkelon,Ashkelon,IL,31.66926,34.57149,Asia/Jerusalem,144073
Pinetown,Pinetown,ZA,-29.82068,30.88674,Africa/Johannesburg,144026
Teshi Old Town,Teshi Old Town,GH,5.58365,-0.10722,Africa/Accra,144013
Biryulëvo,Biryulevo,RU,55.58635,37.67781,Europe/Moscow,144000
Orekhovo-Borisovo,Orekhovo-Borisovo,RU,55.61252,37.72639,Europe/Moscow,144000
Kusatsu,Kusatsu,JP,35.01667,135.96667,Asia/Tokyo,143913
Nanjin,Nanjin,CN,29.98497,106.26529,Asia/Shanghai,143766
Guelph,Guelph,CA,43.54594,-80.25599,America/Toronto,143740
Qianjiang,Qianjiang,CN,29.53284,108.77478,Asia/Shanghai,143727
Ramna Maidan,Ramna Maidan,BD,23.73333,90.4,Asia/Dhaka,143677
Godhra,Godhra,IN,22.77547,73.61488,Asia/Kolkata,143644
Khemisset,Khemisset,MA,33.82404,-6.06627,Africa/Casablanca,143640
Çanakkale,Canakkale,TR,40.15552,26.41271,Europe/Istanbul,143622
Torrance,Torrance,US,33.83585,-118.34063,America/Los_Angeles,143592
San Jose,San Jose,PH,12.35275,121.06761,Asia/Manila,143495
Ladysmith,Ladysmith,ZA,-28.55874,29.77896,Africa/Johannesburg,143446
Lévis,Levis,CA,46.80326,-71.17793,America/Toronto,143414
Cachoeirinha,Cachoeirinha,BR,-23.45442,-46.66209,America/Sao_Paulo,143366
Heidelberg,Heidelberg,DE,49.40768,8.69079,Europe/Berlin,143345
Fresnillo,Fresnillo,MX,23.1749,-102.86785,America/Mexico_City,143281
Touggourt,Touggourt,DZ,33.11083,6.07,Africa/Algiers,143270
Shillong,Shillong,IN,25.56892,91.88313,Asia/Kolkata,143229
Surprise,Surprise,US,33.63059,-112.33322,America/Phoenix,143148
Norwich,Norwich,GB,52.62783,1.29834,Europe/London,143135
Tịnh Biên,Tinh Bien,VN,10.59591,104.93669,Asia/Ho_Chi_Minh,143098
Moriguchi,Moriguchi,JP,34.73333,135.56667,Asia/Tokyo,143096
Amiens,Amiens,FR,49.9,2.3,Europe/Paris,143086
Cai Lậy,Cai Lay,VN,10.4,106.11667,Asia/Ho_Chi_Minh,143050
Macaé,Macae,BR,-22.38484,-41.78324,America/Sao_Paulo,143029
Rewāri,Rewari,IN,28.199,76.6183,Asia/Kolkata,143021
Basirhat City,Basirhat City,IN,22.66142,88.85477,Asia/Kolkata,143007
Novyye Kuz’minki,Novyye Kuz'minki,RU,55.7,37.75,Europe/Moscow,143000
Kuz’minki,Kuz'minki,RU,55.7,37.8,Europe/Moscow,143000
Aalborg,Aalborg,DK,57.048,9.9187,Europe/Copenhagen,142937
La Trinidad,La Trinidad,PH,16.455,120.5875,Asia/Manila,142925
Ghardaïa,Ghardaia,DZ,32.49094,3.67347,Africa/Algiers,142913
Timika,Timika,ID,-4.61407,136.67679,Asia/Jayapura,142909
Pyatigorsk,Pyatigorsk,RU,44.05,43.05036,Europe/Moscow,142865
Mbanza-Ngungu,Mbanza-Ngungu,CD,-5.25837,14.85838,Africa/Kinshasa,142773
Mercier–Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,CA,45.57194,-73.54626,America/Toronto,142753
Okinawa,Okinawa,JP,26.33583,127.80139,Asia/Tokyo,142752
Middlesbrough,Middlesbrough,GB,54.57623,-1.23483,Europe/London,142707
Shahrisabz,Shahrisabz,UZ,39.05778,66.83417,Asia/Samarkand,142700
Ch’ŏngdan-ŭp,Ch'ongdan-up,KP,37.97028,125.9375,Asia/Pyongyang,142607
Sant Andreu,Sant Andreu,ES,41.43541,2.18982,Europe/Madrid,142598
Rybnik,Rybnik,PL,50.09713,18.54179,Europe/Warsaw,142510
Saïda,Saida,DZ,34.83033,0.15171,Africa/Algiers,142497
Metairie Terrace,Metairie Terrace,US,29.97854,-90.16396,America/Chicago,142489
Tuzla,Tuzla,BA,44.53842,18.66709,Europe/Sarajevo,142486
Kovpakivskyi,Kovpakivskyi,UA,50.92508,34.79484,Europe/Kyiv,142447
eMbalenhle,eMbalenhle,ZA,-26.53333,29.06667,Africa/Johannesburg,142443
Trindade,Trindade,BR,-16.64944,-49.48889,America/Sao_Paulo,142431
Khanpur,Khanpur,PK,28.64739,70.65694,Asia/Karachi,142426
Columbia,Columbia,US,34.00071,-81.03481,America/New_York,142416
Nawābganj,Nawabganj,BD,24.59025,88.27444,Asia/Dhaka,142361
Inezgane,Inezgane,MA,30.35535,-9.53639,Africa/Casablanca,142320
Pasadena,Pasadena,US,34.14778,-118.14452,America/Los_Angeles,142250
Toowoomba,Toowoomba,AU,-27.56056,151.95386,Australia/Brisbane,142163
Paderborn,Paderborn,DE,51.71905,8.75439,Europe/Berlin,142161
"Misato, Saitama","Misato, Saitama",JP,35.84373,139.88347,Asia/Tokyo,142145
Chhatarpur,Chhatarpur,IN,24.9177,79.58871,Asia/Kolkata,142128
Kimberley,Kimberley,ZA,-28.73226,24.76232,Africa/Johannesburg,142089
Alto Hospicio,Alto Hospicio,CL,-20.26871,-70.1049,America/Santiago,142086
Ciego de Ávila,Ciego de Avila,CU,21.8422,-78.76034,America/Havana,142027
Samālūţ,Samalut,EG,28.31214,30.71007,Africa/Cairo,142009
Chertanovo Yuzhnoye,Chertanovo Yuzhnoye,RU,55.59072,37.59519,Europe/Moscow,142000
Jieshou,Jieshou,CN,33.26338,115.36108,Asia/Shanghai,141993
Maykop,Maykop,RU,44.60789,40.10242,Europe/Moscow,141970
Attock City,Attock City,PK,33.76671,72.35977,Asia/Karachi,141945
Kisaran,Kisaran,ID,2.9845,99.6158,Asia/Jakarta,141915
Mojokerto,Mojokerto,ID,-7.4664,112.4338,Asia/Jakarta,141785
Facatativá,Facatativa,CO,4.81367,-74.35453,America/Bogota,141762
Masai,Masai,MY,1.4907,103.8788,Asia/Kuala_Lumpur,141730
Punto Fijo,Punto Fijo,VE,11.69152,-70.19918,America/Caracas,141729
Myingyan,Myingyan,MM,21.46002,95.3884,Asia/Yangon,141713
Kamālshahr,Kamalshahr,IR,35.86187,50.87424,Asia/Tehran,141669
Mandsaur,Mandsaur,IN,24.07184,75.06986,Asia/Kolkata,141667
Zheleznodorozhnyy,Zheleznodorozhnyy,RU,55.744,38.01684,Europe/Moscow,141648
Chas,Chas,IN,23.63556,86.16712,Asia/Kolkata,141640
Jahrom,Jahrom,IR,28.5,53.5605,Asia/Tehran,141634
Tours,Tours,FR,47.39484,0.70398,Europe/Paris,141621
Pālanpur,Palanpur,IN,24.17128,72.43827,Asia/Kolkata,141592
Bondoukou,Bondoukou,CI,8.0402,-2.80003,Africa/Abidjan,141568
Chichicastenango,Chichicastenango,GT,14.94333,-91.11116,America/Guatemala,141567
Tarragona,Tarragona,ES,41.11905,1.24544,Europe/Madrid,141542
Tobruk,Tobruk,LY,32.08963,23.95385,Africa/Tripoli,141499
Sinch’ŏn-ŭp,Sinch'on-up,KP,38.35323,125.48423,Asia/Pyongyang,141407
Abbotsford,Abbotsford,CA,49.05798,-122.25257,America/Vancouver,141397
Brusque,Brusque,BR,-27.09795,-48.91281,America/Sao_Paulo,141385
Circoiscrizione II,Circoiscrizione II,IT,45.05013,7.64052,Europe/Rome,141344
Bolton,Bolton,GB,53.58333,-2.43333,Europe/London,141331
Yushu,Yushu,CN,33.00118,97.00893,Asia/Shanghai,141308
Piteşti,Pitesti,RO,44.85,24.86667,Europe/Bucharest,141275
Fukayachō,Fukayacho,JP,36.2,139.28333,Asia/Tokyo,141268
Potosí,Potosi,BO,-19.58361,-65.75306,America/La_Paz,141251
Khuzdar,Khuzdar,PK,27.81193,66.61096,Asia/Karachi,141227
Usera,Usera,ES,40.38866,-3.70035,Europe/Madrid,141189
Limoges,Limoges,FR,45.83362,1.24759,Europe/Paris,141176
Cangaiba,Cangaiba,BR,-23.49696,-46.52045,America/Sao_Paulo,141172
Asaka,Asaka,JP,35.80472,139.60194,Asia/Tokyo,141083
Paranaguá,Paranagua,BR,-25.51626,-48.52537,America/Sao_Paulo,141013
Ghazni,Ghazni,AF,33.55391,68.42096,Asia/Kabul,141000
Orange,Orange,US,33.78779,-117.85311,America/Los_Angeles,140992
Wola,Wola,PL,52.23477,20.96004,Europe/Warsaw,140958
Sanhe,Sanhe,CN,29.86864,107.73027,Asia/Shanghai,140954
Īlām,Ilam,IR,33.6374,46.4227,Asia/Tehran,140940
Gongzhuling,Gongzhuling,CN,43.50075,124.81979,Asia/Shanghai,140909
Shimotoda,Shimotoda,JP,35.815,139.6853,Asia/Tokyo,140899
Comodoro Rivadavia,Comodoro Rivadavia,AR,-45.86256,-67.494,America/Argentina/Catamarca,140850
Kampung Sungai Ara,Kampung Sungai Ara,MY,5.32699,100.27348,Asia/Kuala_Lumpur,140849
Fullerton,Fullerton,US,33.87029,-117.92534,America/Los_Angeles,140847
Killeen,Killeen,US,31.11712,-97.7278,America/Chicago,140806
Norilsk,Norilsk,RU,69.3535,88.2027,Asia/Krasnoyarsk,140800
Lleida,Lleida,ES,41.61674,0.62218,Europe/Madrid,140797
Coimbra,Coimbra,PT,40.20686,-8.41996,Europe/Lisbon,140796
Mtwara,Mtwara,TZ,-10.26667,40.18333,Africa/Dar_es_Salaam,140793
Manjhand,Manjhand,PK,25.90827,68.23683,Asia/Karachi,140766
Beni,Beni,CD,0.49113,29.47306,Africa/Lubumbashi,140731
Debre Mark’os,Debre Mark'os,ET,10.35,37.73333,Africa/Addis_Ababa,140700
Norzagaray,Norzagaray,PH,14.9109,121.0493,Asia/Manila,140697
Qeładizê,Qeladize,IQ,36.18254,45.13017,Asia/Baghdad,140688
Vila Curuca,Vila Curuca,BR,-23.51,-46.41566,America/Sao_Paulo,140673
Nigel,Nigel,ZA,-26.43138,28.47713,Africa/Johannesburg,140644
Shengavit,Shengavit,AM,40.1557,44.4779,Asia/Yerevan,140600
Buea,Buea,CM,4.15342,9.24231,Africa/Douala,140533
Shuizhai,Shuizhai,CN,23.92961,115.76499,Asia/Shanghai,140493
Al’met’yevsk,Al'met'yevsk,RU,54.90395,52.31793,Europe/Moscow,140437
Paris 12e Arrondissement,Paris 12e Arrondissement,FR,48.83523,2.43505,Europe/Paris,140311
McAllen,McAllen,US,26.20341,-98.23001,America/Chicago,140269
Lakhīmpur,Lakhimpur,IN,27.94822,80.77935,Asia/Kolkata,140223
Ishinomaki,Ishinomaki,JP,38.41667,141.3,Asia/Tokyo,140151
Mpumalanga,Mpumalanga,ZA,-29.81292,30.63646,Africa/Johannesburg,140121
Zaanstad,Zaanstad,NL,52.45313,4.81356,Europe/Amsterdam,140085
Kabin Buri,Kabin Buri,TH,13.95133,101.71739,Asia/Bangkok,140056
Kuwana,Kuwana,JP,35.05192,136.66958,Asia/Tokyo,140051
Ayacucho,Ayacucho,PE,-13.1638,-74.22345,America/Lima,140033
Shanhaiguan,Shanhaiguan,CN,40.00119,119.75395,Asia/Shanghai,140000
Chamartín,Chamartin,ES,40.46206,-3.6766,Europe/Madrid,140000
Şaḩam,Saham,OM,24.17222,56.88861,Asia/Muscat,140000
Abéché,Abeche,TD,13.82916,20.8324,Africa/Ndjamena,139983
Peristéri,Peristeri,GR,38.01539,23.69187,Europe/Athens,139981
Amersfoort,Amersfoort,NL,52.155,5.3875,Europe/Amsterdam,139914
Darwin,Darwin,AU,-12.46113,130.84185,Australia/Darwin,139902
Jeongeup,Jeongeup,KR,35.60004,126.91699,Asia/Seoul,139876
Bellevue,Bellevue,US,47.61038,-122.20068,America/Los_Angeles,139820
Korolev,Korolev,RU,55.91417,37.82556,Europe/Moscow,139798
Valsād,Valsad,IN,20.61013,72.93428,Asia/Kolkata,139764
Shinyanga,Shinyanga,TZ,-3.66393,33.42118,Africa/Dar_es_Salaam,139727
Gojra,Gojra,PK,31.14926,72.68323,Asia/Karachi,139726
Sollentuna,Sollentuna,SE,59.42804,17.95093,Europe/Stockholm,139606
Al Hindīyah,Al Hindiyah,IQ,32.54193,44.22469,Asia/Baghdad,139578
Yaizu,Yaizu,JP,34.86877,138.31952,Asia/Tokyo,139578
Payakumbuh,Payakumbuh,ID,-0.2159,100.6334,Asia/Jakarta,139576
Damoh,Damoh,IN,23.83312,79.4419,Asia/Kolkata,139561
Āsela,Asela,ET,7.95,39.13333,Africa/Addis_Ababa,139500
Haldwani,Haldwani,IN,29.22254,79.5286,Asia/Kolkata,139497
Irewe,Irewe,NG,6.41692,3.14058,Africa/Lagos,139494
Gbongan,Gbongan,NG,7.47734,4.35351,Africa/Lagos,139485
Gama,Gama,BR,-16.02511,-48.07121,America/Sao_Paulo,139467
Siem Reap,Siem Reap,KH,13.36179,103.86056,Asia/Phnom_Penh,139458
Anaco,Anaco,VE,9.42958,-64.46428,America/Caracas,139397
Purwodadi,Purwodadi,ID,-7.0868,110.9158,Asia/Jakarta,139387
Koga,Koga,JP,36.18333,139.71667,Asia/Tokyo,139344
Hābra,Habra,IN,22.84202,88.65606,Asia/Kolkata,139297
Sidoarjo,Sidoarjo,ID,-7.4478,112.7183,Asia/Jakarta,139189
Kyivskyi,Kyivskyi,UA,48.04646,37.77571,Europe/Kyiv,139177
Şabāḩ as Sālim,Sabah as Salim,KW,29.25722,48.05722,Asia/Kuwait,139163
Balneário Camboriú,Balneario Camboriu,BR,-26.99056,-48.63472,America/Sao_Paulo,139155
Plaza de la Revolución,Plaza de la Revolucion,CU,23.11936,-82.39197,America/Havana,139135
Lausanne,Lausanne,CH,46.516,6.63282,Europe/Zurich,139111
Choloma,Choloma,HN,15.61444,-87.95302,America/Tegucigalpa,139100
Kairouan,Kairouan,TN,35.6781,10.09633,Africa/Tunis,139070
Stockport,Stockport,GB,53.40979,-2.15761,Europe/London,139052
Budapest XI. kerület,Budapest XI. keruelet,HU,47.47603,19.03605,Europe/Budapest,139049
Huadian,Huadian,CN,42.97213,126.74107,Asia/Shanghai,139047
Kousséri,Kousseri,CM,12.07689,15.03063,Africa/Douala,139024
Weru,Weru,ID,-6.711,108.5037,Asia/Jakarta,139004
Al-'Ubūr,Al-'Ubur,EG,30.22886,31.48149,Africa/Cairo,138987
Kolpino,Kolpino,RU,59.75069,30.58856,Europe/Moscow,138979
Belgrano,Belgrano,AR,-34.5627,-58.45829,America/Argentina/Buenos_Aires,138942
Sarh,Sarh,TD,9.14555,18.38331,Africa/Ndjamena,138928
Gingoog,Gingoog,PH,8.82778,125.09972,Asia/Manila,138895
San Juan del Río,San Juan del Rio,MX,20.38897,-99.99637,America/Mexico_City,138878
Sekondi-Takoradi,Sekondi-Takoradi,GH,4.92678,-1.75773,Africa/Accra,138872
Liuzhi,Liuzhi,CN,26.2342,105.426,Asia/Shanghai,138826
Naga,Naga,PH,10.20898,123.758,Asia/Manila,138727
Fuyu,Fuyu,CN,45.18333,124.81667,Asia/Shanghai,138704
Whitby,Whitby,CA,43.88342,-78.93287,America/Toronto,138501
Metairie,Metairie,US,29.98409,-90.15285,America/Chicago,138481
Chaohu,Chaohu,CN,31.6,117.86667,Asia/Shanghai,138463
Kolār,Kolar,IN,13.13768,78.12999,Asia/Kolkata,138462
Bizerte,Bizerte,TN,37.27442,9.87391,Africa/Tunis,138430
Táriba,Tariba,VE,7.82117,-72.22329,America/Caracas,138402
Ejigbo,Ejigbo,NG,7.90303,4.31364,Africa/Lagos,138357
Ksar El Kebir,Ksar El Kebir,MA,35.00044,-5.90378,Africa/Casablanca,138262
Paris 11 Popincourt,Paris 11 Popincourt,FR,48.8574,2.3795,Europe/Paris,138170
Dabou,Dabou,CI,5.32556,-4.37685,Africa/Abidjan,138083
Bukit Panjang New Town,Bukit Panjang New Town,SG,1.37972,103.76472,Asia/Singapore,138050
Sao Lucas,Sao Lucas,BR,-23.59468,-46.54359,America/Sao_Paulo,138038
Paris 12 Reuilly,Paris 12 Reuilly,FR,48.8412,2.3876,Europe/Paris,138024
Parnaíba,Parnaiba,BR,-2.90472,-41.77667,America/Fortaleza,138008
Bertoua,Bertoua,CM,4.57728,13.68459,Africa/Douala,137993
Jacmel,Jacmel,HT,18.23569,-72.53686,America/Port-au-Prince,137966
Srikakulam,Srikakulam,IN,18.2989,83.89751,Asia/Kolkata,137944
Candelaria,Candelaria,PH,13.93111,121.42333,Asia/Manila,137933
Vĩnh Long,Vinh Long,VN,10.25369,105.9722,Asia/Ho_Chi_Minh,137870
Praia,Praia,CV,14.93152,-23.51254,Atlantic/Cape_Verde,137868
Araruama,Araruama,BR,-22.87278,-42.34306,America/Sao_Paulo,137773
Liangping,Liangping,CN,30.66108,107.7661,Asia/Shanghai,137620
Kirdāsah,Kirdasah,EG,30.03103,31.11109,Africa/Cairo,137588
Itu,Itu,BR,-23.26417,-47.29917,America/Sao_Paulo,137586
Ponce,Ponce,PR,18.01031,-66.62398,America/Puerto_Rico,137491
Doilungdêqên,Doilungdeqen,CN,29.65505,90.99177,Asia/Shanghai,137451
Jieshi,Jieshi,CN,22.81027,115.83058,Asia/Shanghai,137444
Hejiang,Hejiang,CN,28.81161,105.83359,Asia/Shanghai,137437
Pasir Puteh,Pasir Puteh,MY,5.83333,102.4,Asia/Kuala_Lumpur,137400
Mandya,Mandya,IN,12.5223,76.89746,Asia/Kolkata,137358
Xiayang,Xiayang,CN,31.14967,121.11588,Asia/Shanghai,137321
